Date,Close/Last,Volume,Open,High,Low
3/31/2021,32.55,8332,32.498,32.6,32.495
3/30/2021,32.4623,37729,32.38,32.582,32.379
3/29/2021,32.29,7038,32.32,32.33,32.23
3/26/2021,32.215,8717,32.02,32.2999,32.02
3/25/2021,31.8815,3163,31.52,31.884,31.52
3/24/2021,31.91,5846,31.8,31.91,31.7401
3/23/2021,31.985,7185,32.13,32.4183,31.98
3/22/2021,32.35,9969,32.35,32.5,32.17
3/19/2021,32.21,3549,32.07,32.2899,31.93
3/18/2021,32.4,6437,32.41,32.67,32.365
3/17/2021,32.425,4684,31.94,32.425,31.85
3/16/2021,32.045,2896,31.99,32.21,31.8901
3/15/2021,31.845,5598,32.05,32.08,31.76
3/12/2021,32.23,11496,31.92,32.2391,31.92
3/11/2021,32.3285,5747,32.2,32.3285,32.0301
3/10/2021,32,24161,31.93,32.055,31.84
3/9/2021,31.785,9455,31.63,31.838,31.63
3/8/2021,31.45,9795,31,31.62,31
3/5/2021,30.8,3217,30.9,30.9,30.6
3/4/2021,30.98,4367,31.29,31.35,30.8
3/3/2021,31.35,4210,31.25,31.48,31.2348
3/2/2021,31.35,3321,31.34,31.4422,31.3291
3/1/2021,31.3,9066,30.94,31.3281,30.94
2/26/2021,30.7801,5232,30.95,31.0425,30.7801
2/25/2021,31.06,6593,31.52,31.5402,31.045
2/24/2021,31.5175,3079,31.27,31.5175,31.11
2/23/2021,31.26,15005,30.96,31.395,30.9
2/22/2021,31.251,5305,31.1,31.3688,30.9652
2/19/2021,31.3,4408,31.385,31.54,31.2101
2/18/2021,31.07,6822,31.0035,31.2299,30.9785
2/17/2021,31.15,5437,31.15,31.2999,30.954
2/16/2021,31.56,8056,31.63,31.63,31.3108
2/12/2021,31.54,7910,31.38,31.54,31.29
2/11/2021,31.4149,1720,31.495,31.6372,31.4014
2/10/2021,31.2866,4066,31.39,31.4723,31.21
2/9/2021,31.36,2842,31.365,31.44,31.2395
2/8/2021,31.355,13524,31.39,31.48,31.1201
2/5/2021,31.39,31169,31.16,31.39,31.0501
2/4/2021,31.025,5872,31.05,31.08,30.955
2/3/2021,31.08,5794,30.96,31.15,30.66
2/2/2021,30.8857,8573,30.72,30.9699,30.56
2/1/2021,30.56,8387,30.43,30.565,30.31
1/29/2021,30.0721,5715,30.52,30.52,29.82
1/28/2021,30.66,12457,30.42,30.8976,30.31
1/27/2021,30.3891,17873,30.51,30.71,30.07
1/26/2021,31.227,13379,31.25,31.26,31.03
1/25/2021,30.92,17579,30.93,30.93,30.34
1/22/2021,31.275,9555,31.24,31.3,31.1201
1/21/2021,31.345,19503,31.39,31.45,31.172
1/20/2021,31.23,4747,31.23,31.33,31.08
1/19/2021,31.13,2684,31.25,31.25,30.948
1/15/2021,30.7335,31892,31.1,31.1,30.7335
1/14/2021,31.475,9701,31.38,31.6699,31.3
1/13/2021,31.3782,10694,31.46,31.6,31.18
1/12/2021,31.48,16596,31.43,31.5399,31.2222
1/11/2021,31.31,5643,31.18,31.4977,31
1/8/2021,31.8792,16656,31.97,32.0299,31.65
1/7/2021,31.81,16693,31.74,31.89,31.59
1/6/2021,31.619,6211,31.33,31.75,31.33
1/5/2021,31.1549,5830,30.98,31.1937,30.848
1/4/2021,31.001,8567,31.6,31.6,31
12/31/2020,30.7966,20126,31.08,31.08,30.63
12/30/2020,31.13,6693,31.23,31.31,31.04
12/29/2020,31.555,11216,31.82,31.89,31.49
12/28/2020,31.72,6673,31.5,31.72,31.5
12/24/2020,30.89,5472,31.0902,31.165,30.89
12/23/2020,31.0896,10678,30.92,31.18,30.73
12/22/2020,30.58,5805,30.59,30.67,30.48
12/21/2020,30.65,14322,30.19,30.76,30.121
12/18/2020,31.275,14683,31.575,31.575,31.2201
12/17/2020,31.5,15804,31.31,31.5,31.31
12/16/2020,31.0559,30601,31,31.1265,30.85
12/15/2020,30.595,15085,30.49,30.68,30.3827
12/14/2020,30.14,3406,30.26,30.26,30.08
12/11/2020,29.84,10529,29.94,29.94,29.6783
12/10/2020,30.35,12619,30.23,30.358,30.09
12/9/2020,30.125,7233,30.46,30.46,30.125
12/8/2020,30.15,7538,30.2,30.2455,30.15
12/7/2020,30.2,5280,30.19,30.261,30.13
12/4/2020,30.21,3902,30.23,30.32,30.21
12/3/2020,30.15,3857,30.28,30.35,30.15
12/2/2020,30.195,4535,30.13,30.21,30
12/1/2020,30.22,4939,30.2958,30.2958,30.095
11/30/2020,29.6868,4704,30.24,30.24,29.6868
11/27/2020,29.9267,2348,29.86,29.97,29.86
11/25/2020,29.65,5068,29.62,29.73,29.4
11/24/2020,29.78,8440,29.46,29.78,29.355
11/23/2020,29.1,6211,29.3,29.467,29.1
11/20/2020,29.141,3251,29.07,29.29,29.0101
11/19/2020,29.15,5284,28.95,29.17,28.7701
11/18/2020,29.25,10666,29.27,29.2999,29.1235
11/17/2020,29.175,2303,29.16,29.28,29.1
11/16/2020,29.1525,8205,29.27,29.29,28.99
11/13/2020,29.1134,2265,28.95,29.1599,28.86
11/12/2020,28.69,4523,28.8,29.11,28.6433
11/11/2020,29.13,12343,29.02,29.19,28.9501
11/10/2020,29.2,10613,29.06,29.295,28.99
11/9/2020,28.85,15987,29.46,29.46,28.78
11/6/2020,27.81,4379,27.8,27.9,27.77
11/5/2020,27.8,63464,27.76,27.885,27.5701
11/4/2020,27.0379,20544,26.86,27.2299,26.6
11/3/2020,26.6964,36550,26.21,26.819,26.152
11/2/2020,25.76,44077,25.59,25.858,25.55
10/30/2020,25.47,51636,25.44,25.47,25.1275
10/29/2020,25.59,28904,25.41,25.6403,25.165
10/28/2020,25.39,45835,25.64,25.739,25.235
10/27/2020,26.68,8495,26.96,27.01,26.5624
10/26/2020,26.92,12884,27.19,27.3142,26.87
10/23/2020,28.24,1975,28.11,28.24,28
10/22/2020,27.8794,4840,27.87,27.8794,27.59
10/21/2020,27.95,3241,28.0877,28.0877,27.9012
10/20/2020,28.195,550,28.3317,28.3317,28.195
10/19/2020,27.975,9550,28.36,28.5146,27.945
10/16/2020,28.53,2832,28.36,28.53,28.3342
10/15/2020,28.03,8316,27.83,28.06,27.58
10/14/2020,28.65,2736,28.61,28.705,28.61
10/13/2020,28.56,6419,28.76,28.76,28.4643
10/12/2020,29.175,2450,28.99,29.175,28.89
10/9/2020,28.925,8030,28.865,28.9563,28.776
10/8/2020,28.815,3252,28.8,28.96,28.69
10/7/2020,28.61,4217,28.42,28.61,28.355
10/6/2020,28.275,1125,28.69,28.69,28.225
10/5/2020,28.3888,2743,28.3308,28.5471,28.3185
10/2/2020,27.98,3989,27.46,27.98,27.46
10/1/2020,28.06,5156,28.145,28.145,27.91
9/30/2020,28.1292,1690,28.07,28.2184,28.07
9/29/2020,28.3006,6140,28.22,28.3006,28.06
9/28/2020,28.23,10776,28.14,28.23,28.0196
9/25/2020,27.45,5340,27.12,27.45,27.01
9/24/2020,27.5,29034,27.4019,27.65,27.33
9/23/2020,27.4438,4019,27.86,27.86,27.4438
9/22/2020,27.934,5322,27.86,28.027,27.59
9/21/2020,27.8,47721,28.23,28.23,27.5025
9/18/2020,29.1015,41511,29.325,29.44,29.0923
9/17/2020,29.31,7836,28.98,29.37,28.98
9/16/2020,29.33,3723,29.42,29.45,29.28
9/15/2020,28.92,7600,29.57,29.57,28.92
9/14/2020,29.3291,9836,29.48,29.48,29.3
9/11/2020,29.28,2531,29.2185,29.3499,29.2185
9/10/2020,29.0647,5201,29.65,29.65,29.0647
9/9/2020,29.41,1630,29.06,29.475,29.06
9/8/2020,28.585,24447,28.55,28.86,28.35
9/4/2020,28.845,58560,29.1399,29.1399,28.15
9/3/2020,28.7997,13962,29.72,29.72,28.67
9/2/2020,29.64,38393,29.27,29.64,29.0401
9/1/2020,28.95,21191,29.03,29.03,28.8902
8/31/2020,29.27,5767,29.22,29.27,28.931
8/28/2020,29.1279,6115,29.09,29.23,29.0638
8/27/2020,28.985,4389,29.4,29.4,28.9014
8/26/2020,29.4,10256,29.15,29.4,29.1
8/25/2020,28.975,6282,29.28,29.28,28.9273
8/24/2020,28.88,7799,28.89,28.96,28.8214
8/21/2020,28.285,3842,28.12,28.285,28
8/20/2020,28.65,17613,28.27,28.66,28.25
8/19/2020,28.855,11855,29.08,29.08,28.79
8/18/2020,28.91,24028,29.1,29.16,28.72
8/17/2020,28.775,9784,28.68,28.99,28.68
8/14/2020,28.46,15761,28.47,28.6565,28.24
8/13/2020,28.725,12503,28.96,29.05,28.65
8/12/2020,28.895,12230,28.76,28.97,28.72
8/11/2020,28.22,10769,28.53,28.57,28.19
8/10/2020,28.0305,4882,28.01,28.04,27.9
8/7/2020,28.01,3198,27.93,28.03,27.8101
8/6/2020,28.1255,4804,28.005,28.16,27.99
8/5/2020,28.07,7901,28.05,28.23,28
8/4/2020,27.875,11065,27.665,27.875,27.665
8/3/2020,27.8,9963,27.74,27.885,27.55
7/31/2020,27.11,71143,27.63,27.66,26.95
7/30/2020,27.72,45376,27.47,27.759,27.1408
7/29/2020,28.39,20047,28.42,28.484,28.21
7/28/2020,28.145,108529,28.28,28.4399,27.95
7/27/2020,28.27,27158,28.17,28.5699,28.17
7/24/2020,27.995,18944,27.935,28.04,27.848
7/23/2020,28.2,147703,28.53,28.6,28.12
7/22/2020,28.5366,21039,28.56,28.599,28.4556
7/21/2020,28.325,45516,28.43,28.57,28.29
7/20/2020,28.12,24790,27.92,28.14,27.685
7/17/2020,27.82,24308,27.72,27.83,27.6702
7/16/2020,27.59,307013,27.62,27.82,27.5
7/15/2020,27.66,6503,27.69,27.9883,27.43
7/14/2020,27.24,8417,26.75,27.24,26.718
7/13/2020,26.7831,14984,27.2,27.43,26.7831
7/10/2020,26.865,4107,26.77,26.94,26.77
7/9/2020,26.61,4566,27.01,27.01,26.4
7/8/2020,26.625,19712,26.56,26.7143,26.5
7/7/2020,26.5568,8812,26.76,26.8,26.55
7/6/2020,26.98,9439,27.11,27.11,26.75
7/2/2020,26.485,8038,26.62,26.7038,26.485
7/1/2020,25.945,14385,25.97,26.09,25.9
6/30/2020,26.0837,1806,25.8501,26.0856,25.8501
6/29/2020,25.825,990,25.6,25.825,25.6
6/26/2020,25.705,5386,26.13,26.13,25.6676
6/25/2020,26.43,5739,25.68,26.43,25.54
6/24/2020,25.97,8677,26.28,26.33,25.56
6/23/2020,26.685,5647,26.84,26.98,26.56
6/22/2020,26.24,6626,26.0438,26.35,26.0438
6/19/2020,25.865,20619,26.34,26.618,25.75
6/18/2020,26.1022,3781,26,26.29,25.99
6/17/2020,26.225,3189,26.55,26.6199,26.15
6/16/2020,26.41,8442,26.48,26.639,26.11
6/15/2020,25.9207,8852,25.28,25.945,25.053
6/12/2020,25.57,36061,26.04,26.1099,25.11
6/11/2020,25.32,72205,26.11,26.3,25.2
6/10/2020,27.075,37257,27.11,27.38,26.88
