Date,Close/Last,Volume,Open,High,Low
03/31/2021,$162.16,2956612,$155.87,$164.87,$154.58
03/30/2021,$150.6,2504281,$139.57,$150.89,$138.06
03/29/2021,$142.14,2868981,$148.97,$152.24,$139.69
03/26/2021,$152.07,2041480,$148.07,$153,$144.5241
03/25/2021,$148.48,3736176,$140.51,$148.74,$136.88
03/24/2021,$147.98,2153461,$159.0513,$159.0513,$147.93
03/23/2021,$155.97,3576577,$160.494,$165.35,$154.69
03/22/2021,$161.11,3055645,$157.59,$163.86,$155.59
03/19/2021,$154.95,5954113,$151.57,$156.75,$147.55
03/18/2021,$148.48,3886446,$157.5,$159.745,$147.86
03/17/2021,$163.82,4099383,$158.57,$167.8276,$153.09
03/16/2021,$166.31,2385422,$173.01,$175.78,$163.56
03/15/2021,$174.16,3378129,$165.01,$175.13,$164.4
03/12/2021,$164.71,2387900,$157.5,$166.25,$153.1
03/11/2021,$165.34,3681435,$158.49,$166.4,$155.79
03/10/2021,$152.43,4720738,$158.01,$162.7379,$150.0901
03/09/2021,$148.7,4848211,$141,$150.83,$139.5
03/08/2021,$132.06,4701656,$145,$147.8564,$131.47
03/05/2021,$143.55,6613434,$153.68,$154.65,$129
03/04/2021,$149.88,5586821,$157.11,$163.62,$143
03/03/2021,$161.12,3993545,$171.39,$173.79,$160.93
03/02/2021,$171.69,3343161,$185.3,$185.3,$171.135
03/01/2021,$186.45,2699570,$179.98,$186.77,$177
02/26/2021,$176.06,3046481,$168,$177.43,$163.51
02/25/2021,$167.37,5927352,$179.41,$181,$166.0951
02/24/2021,$180.87,4020983,$170.66,$183.25,$163.1
02/23/2021,$170.89,5325672,$159.34,$171.25,$148
02/22/2021,$167.86,4845805,$182.81,$183.07,$166.1244
02/19/2021,$189.74,2486151,$185.02,$194.94,$184
02/18/2021,$180.84,3633791,$182.5,$184,$175.51
02/17/2021,$189.34,3649967,$190.02,$191.5,$181.52
02/16/2021,$193.5,2866670,$208.07,$208.41,$192.81
02/12/2021,$206.51,2446200,$196,$208.95,$193.6587
02/11/2021,$199.08,2999119,$205.5459,$209.4237,$197.26
02/10/2021,$202.07,6482824,$214,$229.04,$200.6
02/09/2021,$200.1,2894577,$197.76,$202.92,$195.7028
02/08/2021,$197.87,2114248,$194.63,$203.38,$193.6
02/05/2021,$193.2,1755283,$196.98,$196.99,$190.5
02/04/2021,$195.63,1531327,$194.6,$197.24,$191.58
02/03/2021,$196.34,1693775,$196.177,$197.93,$190
02/02/2021,$192.63,2178210,$189.84,$194.31,$186.66
02/01/2021,$186.34,2494265,$185.3,$188.355,$177.3494
01/29/2021,$182.35,2750795,$191.5,$194.9499,$177.67
01/28/2021,$193.74,3472152,$182.85,$195.7,$177
01/27/2021,$179.02,4470724,$180,$190.9999,$175.39
01/26/2021,$187.34,4957444,$206.21,$209.62,$185.22
01/25/2021,$202.73,3447564,$215.555,$221.42,$200.36
01/22/2021,$212.07,2521503,$208.18,$213.55,$204.7
01/21/2021,$212.09,3612618,$201.97,$214.5,$196.65
01/20/2021,$199.4,2746569,$203.21,$206.47,$196.33
01/19/2021,$201.28,3841441,$197.83,$204.01,$194.21
01/15/2021,$190.59,5237050,$206.54,$208.35,$189.21
01/14/2021,$208.83,2773012,$207.04,$216.22,$206.5
01/13/2021,$203.69,2411631,$205.47,$208.27,$199.64
01/12/2021,$206.49,2505216,$204.88,$207.99,$197.08
01/11/2021,$201.68,3005495,$200.4,$208.39,$196.12
01/08/2021,$207.41,5199658,$217.698,$219.97,$200.05
01/07/2021,$213.76,6055484,$209.84,$222.43,$209.2
01/06/2021,$203.38,33331860,$197.9,$210.2,$195.77
01/05/2021,$181.48,4607169,$175.71,$186.63,$173.55
01/04/2021,$172.24,3878990,$178.7,$179.15,$167.07
12/31/2020,$175.47,5626524,$176.9408,$183.9899,$172.91
12/30/2020,$172.93,2474115,$171.68,$177.55,$171.68
12/29/2020,$170.2,3147304,$175.49,$176.23,$164.3001
12/28/2020,$175.49,2698571,$188.452,$189.4064,$173.6718
12/24/2020,$181.39,1062292,$179.76,$184.54,$177.48
12/23/2020,$180.32,2535028,$181.4008,$184.08,$174.2101
12/22/2020,$177.27,3500861,$174.99,$186.4,$173
12/21/2020,$170.78,2741064,$162.95,$172.1,$161.185
12/18/2020,$164.41,3563254,$163.69,$169.67,$163.005
12/17/2020,$163.52,2818534,$165.52,$168.18,$159
12/16/2020,$163.31,3213304,$159,$163.46,$152.53
12/15/2020,$160.46,4003975,$147.4,$161.56,$147.2574
12/14/2020,$145.07,2215730,$143,$147.49,$137.7475
12/11/2020,$139.91,3083566,$133.38,$144.6,$133
12/10/2020,$131.21,1310483,$125.668,$132.22,$125.54
