Date,Close/Last,Volume,Open,High,Low
3/31/2021,$38.02 ,147506,$28.90 ,$59.90 ,$25.50 
3/30/2021,$25.50 ,3245,$27.16 ,$28 ,$25.20 
3/29/2021,$28.13 ,N/A,$28.13 ,$28.13 ,$28.13 
3/26/2021,$28.13 ,1012,$28.13 ,$28.13 ,$28.13 
3/25/2021,$29.56 ,N/A,$29.56 ,$29.56 ,$29.56 
3/24/2021,$29.56 ,N/A,$29.56 ,$29.56 ,$29.56 
3/23/2021,$29.56 ,N/A,$29.56 ,$29.56 ,$29.56 
3/22/2021,$29.56 ,N/A,$29.56 ,$29.56 ,$29.56 
3/19/2021,$29.56 ,N/A,$29.56 ,$29.56 ,$29.56 
3/18/2021,$29.56 ,639,$29.56 ,$29.56 ,$29.56 
3/17/2021,$29 ,1378,$30.49 ,$30.75 ,$29 
3/16/2021,$29.50 ,N/A,$29.50 ,$29.50 ,$29.50 
3/15/2021,$29.50 ,N/A,$29.50 ,$29.50 ,$29.50 
3/12/2021,$29.50 ,469,$29.50 ,$29.50 ,$29.50 
3/11/2021,$30.20 ,1018,$29.11 ,$30.20 ,$29.11 
3/10/2021,$30.74 ,N/A,$30.74 ,$30.74 ,$30.74 
3/9/2021,$30.74 ,733,$30.46 ,$30.74 ,$30.46 
3/8/2021,$30.54 ,602,$28 ,$30.66 ,$28 
3/5/2021,$28.46 ,745,$28.46 ,$28.46 ,$28.46 
3/4/2021,$31 ,N/A,$31 ,$31 ,$31 
3/3/2021,$31 ,981,$31 ,$31 ,$31 
3/2/2021,$30.96 ,1912,$31 ,$31.42 ,$30.32 
3/1/2021,$31.63 ,4800,$32.37 ,$32.37 ,$30.22 
2/26/2021,$30.53 ,1509,$30.46 ,$32.04 ,$30.46 
2/25/2021,$31.01 ,1884,$32 ,$32 ,$30.55 
2/24/2021,$32.88 ,3456,$32.26 ,$32.88 ,$32.12 
2/23/2021,$32.42 ,5142,$32.31 ,$32.96 ,$32.12 
2/22/2021,$33.02 ,3826,$32.76 ,$34.50 ,$32.12 
2/19/2021,$33.09 ,11440,$34.69 ,$35.94 ,$32.65 
2/18/2021,$33.21 ,102991,$31.44 ,$59.29 ,$31.41 
2/17/2021,$29.78 ,783,$31.72 ,$31.72 ,$29.78 
2/16/2021,$29.50 ,N/A,$29.50 ,$29.50 ,$29.50 
2/12/2021,$29.50 ,756,$29.50 ,$29.50 ,$29.50 
2/11/2021,$29.51 ,654,$29.51 ,$29.51 ,$29.51 
2/10/2021,$30.50 ,757,$30.50 ,$30.50 ,$30.50 
2/9/2021,$32 ,4908,$29.52 ,$34 ,$29.52 
2/8/2021,$32 ,N/A,$32 ,$32 ,$32 
2/5/2021,$32 ,1806,$32 ,$32.80 ,$31.12 
2/4/2021,$32.45 ,2066,$29.01 ,$32.46 ,$29.01 
2/3/2021,$31.70 ,659,$32.42 ,$32.42 ,$31.70 
2/2/2021,$32 ,1865,$29.50 ,$33.86 ,$29.50 
2/1/2021,$30.63 ,1157,$32.50 ,$32.50 ,$30.63 
1/29/2021,$32.03 ,1636,$31.53 ,$32.03 ,$31.53 
1/28/2021,$33.50 ,2820,$31.47 ,$34 ,$29.40 
1/27/2021,$33.15 ,1470,$31.35 ,$33.50 ,$31.35 
1/26/2021,$33.59 ,705,$33.59 ,$33.59 ,$33.59 
1/25/2021,$34.10 ,2038,$33.81 ,$34.10 ,$31.69 
1/22/2021,$33.50 ,1042,$31.30 ,$33.50 ,$31.30 
1/21/2021,$32.50 ,891,$32.46 ,$32.53 ,$32.46 
1/20/2021,$32.60 ,1024,$31.86 ,$32.68 ,$31.86 
1/19/2021,$32.53 ,3069,$31.12 ,$33 ,$31.12 
1/15/2021,$31.14 ,870,$31 ,$31.14 ,$31 
1/14/2021,$32 ,1899,$31.50 ,$32.50 ,$31.41 
1/13/2021,$31 ,549,$31 ,$31 ,$31 
1/12/2021,$32.18 ,1101,$32.50 ,$32.50 ,$29.25 
1/11/2021,$33.75 ,N/A,$33.75 ,$33.75 ,$33.75 
1/8/2021,$33.75 ,1672,$34 ,$34 ,$31.70 
1/7/2021,$34 ,3532,$31.70 ,$34 ,$31.14 
1/6/2021,$30 ,1754,$29.03 ,$30 ,$29.03 
1/5/2021,$29.03 ,402,$29.03 ,$29.03 ,$29.03 
1/4/2021,$29.43 ,N/A,$29.43 ,$29.43 ,$29.43 
12/31/2020,$29.43 ,2736,$29 ,$29.43 ,$29 
12/30/2020,$29.22 ,777,$29.22 ,$29.22 ,$29.22 
12/29/2020,$29.30 ,2385,$28.31 ,$30 ,$28.31 
12/28/2020,$29.24 ,2830,$29 ,$29.24 ,$29 
12/24/2020,$29 ,437,$29 ,$29 ,$29 
12/23/2020,$30.42 ,4724,$29 ,$30.93 ,$28.64 
12/22/2020,$28.51 ,1005,$29.50 ,$29.50 ,$28.51 
12/21/2020,$31.40 ,N/A,$31.40 ,$31.40 ,$31.40 
12/18/2020,$31.40 ,N/A,$31.40 ,$31.40 ,$31.40 
12/17/2020,$31.40 ,1127,$32.16 ,$32.16 ,$31.40 
12/16/2020,$32.22 ,N/A,$32.22 ,$32.22 ,$32.22 
12/15/2020,$32.22 ,N/A,$32.22 ,$32.22 ,$32.22 
12/14/2020,$32.22 ,813,$32.26 ,$32.26 ,$32.22 
12/11/2020,$33.98 ,1809,$30 ,$34.80 ,$30 
12/10/2020,$32.52 ,709,$32.56 ,$32.56 ,$32.52 
12/9/2020,$32.24 ,879,$32.44 ,$32.44 ,$32.24 
12/8/2020,$34.17 ,1663,$31.81 ,$34.17 ,$31.81 
12/7/2020,$33.80 ,3647,$33.04 ,$33.90 ,$31.80 
12/4/2020,$33.83 ,5876,$31.80 ,$35.97 ,$31.80 
12/3/2020,$32.83 ,1129,$32.60 ,$32.83 ,$32.60 
12/2/2020,$32.68 ,1832,$33 ,$33 ,$31.55 
12/1/2020,$34 ,1279,$32 ,$34 ,$32 
11/30/2020,$33 ,1784,$33 ,$33.99 ,$33 
11/27/2020,$33.70 ,N/A,$33.70 ,$33.70 ,$33.70 
11/25/2020,$33.70 ,N/A,$33.70 ,$33.70 ,$33.70 
11/24/2020,$33.70 ,1738,$32.26 ,$33.70 ,$32.26 
11/23/2020,$33.90 ,1691,$34.10 ,$34.10 ,$33.90 
11/20/2020,$32.86 ,627,$33.26 ,$33.26 ,$32.86 
11/19/2020,$32.00 ,1191,$33.78 ,$33.78 ,$32.00 
11/18/2020,$34 ,1429,$31.48 ,$34 ,$31 
11/17/2020,$32 ,1849,$32.62 ,$35.35 ,$32 
11/16/2020,$33.45 ,927,$32.72 ,$33.45 ,$32.10 
11/13/2020,$32.57 ,N/A,$32.57 ,$32.57 ,$32.57 
11/12/2020,$32.57 ,3623,$31.55 ,$35.14 ,$31.17 
11/11/2020,$33.66 ,769,$34.25 ,$34.25 ,$33.66 
11/10/2020,$32.97 ,1053,$32.63 ,$34.02 ,$32.63 
11/9/2020,$35.64 ,4117,$37.90 ,$37.92 ,$31.55 
11/6/2020,$32.10 ,N/A,$32.10 ,$32.10 ,$32.10 
11/5/2020,$32.10 ,1939,$32 ,$32.10 ,$31.99 
11/4/2020,$32.95 ,N/A,$32.95 ,$32.95 ,$32.95 
11/3/2020,$32.95 ,N/A,$32.95 ,$32.95 ,$32.95 
11/2/2020,$32.95 ,1158,$30.66 ,$32.95 ,$30.66 
10/30/2020,$33.85 ,829,$31.66 ,$33.85 ,$31.66 
10/29/2020,$34.54 ,1094,$34.54 ,$34.54 ,$34.54 
10/28/2020,$34.56 ,1299,$34.68 ,$37.24 ,$34.55 
10/27/2020,$34.55 ,731,$35.15 ,$35.15 ,$34.55 
10/26/2020,$36.88 ,N/A,$36.88 ,$36.88 ,$36.88 
10/23/2020,$36.88 ,1002,$37.24 ,$37.24 ,$34.78 
10/22/2020,$37.64 ,283,$37.64 ,$37.64 ,$37.64 
10/21/2020,$34.74 ,976,$34.45 ,$34.74 ,$34.45 
10/20/2020,$34.70 ,N/A,$34.70 ,$34.70 ,$34.70 
10/19/2020,$34.70 ,N/A,$34.70 ,$34.70 ,$34.70 
10/16/2020,$34.70 ,442,$34.70 ,$34.70 ,$34.70 
10/15/2020,$36.78 ,576,$37.09 ,$37.09 ,$36.78 
10/14/2020,$36.78 ,1313,$36.75 ,$36.88 ,$36.75 
10/13/2020,$36.27 ,1594,$35.43 ,$36.27 ,$34.89 
10/12/2020,$34.85 ,N/A,$34.85 ,$34.85 ,$34.85 
10/9/2020,$34.85 ,N/A,$34.85 ,$34.85 ,$34.85 
10/8/2020,$34.85 ,1719,$34.60 ,$36.15 ,$34.60 
10/7/2020,$35.93 ,724,$34.69 ,$35.93 ,$34.69 
10/6/2020,$34.37 ,1442,$34.35 ,$36.33 ,$34.35 
10/5/2020,$36 ,1400,$35.99 ,$36.33 ,$35.99 
10/2/2020,$33.25 ,609,$33.25 ,$33.25 ,$33.25 
10/1/2020,$37.10 ,466,$34.00 ,$37.10 ,$34.00 
9/30/2020,$35.77 ,N/A,$35.77 ,$35.77 ,$35.77 
9/29/2020,$35.77 ,N/A,$35.77 ,$35.77 ,$35.77 
9/28/2020,$35.77 ,N/A,$35.77 ,$35.77 ,$35.77 
9/25/2020,$35.77 ,2420,$38.42 ,$38.64 ,$35.70 
9/24/2020,$36.57 ,5567,$37.25 ,$37.40 ,$33 
9/23/2020,$38.01 ,1881,$40.40 ,$40.40 ,$37.37 
9/22/2020,$39 ,N/A,$39 ,$39 ,$39 
9/21/2020,$39 ,1441,$39 ,$39 ,$38.94 
