Date,Close/Last,Volume,Open,High,Low
03/31/2021,$497.92,346324,$499.44,$510.57,$497.48
03/30/2021,$495.75,218945,$515.46,$518.63,$495.025
03/29/2021,$516.68,192300,$516.11,$524.18,$507.84
03/26/2021,$517.8,263772,$497.16,$519.29,$495.38
03/25/2021,$497.71,292954,$500.05,$500.62,$488.8
03/24/2021,$500.93,271814,$523.75,$523.75,$496.34
03/23/2021,$526.12,283533,$518.29,$530.17,$514.52
03/22/2021,$521.28,202094,$507.47,$523.07,$507.47
03/19/2021,$510.12,667279,$504.74,$513.895,$500.21
03/18/2021,$501.42,291391,$507.5,$517.51,$500
03/17/2021,$513,306436,$515.6,$518.79,$505.928
03/16/2021,$516.91,198446,$529.77,$533.4,$511.49
03/15/2021,$525.41,246734,$523.74,$534.17,$513.22
03/12/2021,$518.97,225842,$522.8,$523.905,$507.58
03/11/2021,$523.82,200414,$517.12,$526.73,$515.53
03/10/2021,$516.79,211050,$530.11,$530.11,$512.4801
03/09/2021,$524.09,350469,$518.34,$540.4,$518.27
03/08/2021,$512.97,349366,$504.99,$522.53,$496.88
03/05/2021,$504.37,612890,$488.1,$506.82,$471.04
03/04/2021,$484.93,461341,$505.28,$510.6,$478.78
03/03/2021,$509.35,534520,$573.89,$575.1,$508.63
03/02/2021,$578.88,245428,$582,$587.05,$574.22
03/01/2021,$579.07,241948,$564.93,$580.99,$563.815
02/26/2021,$555.94,282797,$551.67,$561.21,$543.125
02/25/2021,$551.77,224089,$545.72,$557.06,$544.09
02/24/2021,$545.46,225857,$544.14,$548.725,$536
02/23/2021,$549.14,403558,$537.86,$552.91,$530.09
02/22/2021,$541.07,241016,$547.13,$547.13,$529.235
02/19/2021,$550.21,243748,$548.41,$557.99,$545.73
02/18/2021,$543.69,167885,$532.75,$543.83,$531.33
02/17/2021,$535.71,244552,$531.54,$541.89,$527.53
02/16/2021,$537.52,271146,$556.58,$556.58,$532.21
02/12/2021,$552.55,163991,$547.52,$553.44,$544.46
02/11/2021,$545.72,197737,$557.97,$560.6,$541.35
02/10/2021,$553.99,172085,$561.35,$561.35,$549.93
02/09/2021,$557.76,201887,$567.07,$572.1843,$552.05
02/08/2021,$569.72,175735,$572.32,$576.13,$563.33
02/05/2021,$571.66,176677,$570.95,$574.99,$564.89
02/04/2021,$566.2,173752,$563.99,$572.84,$558.8
02/03/2021,$563.81,265427,$580.57,$587.89,$562.21
02/02/2021,$580.11,292497,$568,$589.25,$568
02/01/2021,$568.73,368512,$549.55,$575.38,$544.965
01/29/2021,$540.76,306780,$532.72,$542.69,$527.335
01/28/2021,$536.55,422523,$530,$545.975,$530
01/27/2021,$534.43,702927,$509.56,$537.92,$501
01/26/2021,$509.81,352097,$509.9,$513,$503.25
01/25/2021,$509.35,286766,$510.55,$516.14,$502.18
01/22/2021,$509.7,323469,$516.98,$519.47,$509.03
01/21/2021,$514.13,220487,$519.34,$519.34,$509.11
01/20/2021,$517.37,287409,$515.96,$518.5,$507.99
01/19/2021,$515.89,419674,$533.51,$533.51,$509.18
01/15/2021,$523,422804,$512.53,$529.815,$510.01
01/14/2021,$512.08,270464,$536.1,$536.1,$510.42
01/13/2021,$536.32,244105,$528.18,$537.9275,$520.96
01/12/2021,$528.68,385180,$540.6,$545.59,$524.77
01/11/2021,$543.72,166570,$548.77,$549.81,$541.4
01/08/2021,$552.09,174749,$549.86,$560.58,$546.75
01/07/2021,$549.21,249685,$543.74,$557.99,$540.46
01/06/2021,$545.08,370035,$545.67,$553.88,$535.93
01/05/2021,$554.25,232268,$562.84,$565.15,$545.3
01/04/2021,$562.78,281025,$575.39,$583.805,$559.07
12/31/2020,$570.56,215086,$563.41,$572.11,$558.83
12/30/2020,$562.27,197279,$568,$573.13,$560.355
12/29/2020,$564.79,144063,$570,$571.52,$560.32
12/28/2020,$565.77,217393,$579.89,$579.89,$559.17
12/24/2020,$573.08,148115,$576.48,$582.68,$567.86
12/23/2020,$572.97,179194,$594.49,$601.415,$571.82
12/22/2020,$590.32,318177,$580.15,$590.78,$578.12
12/21/2020,$578.44,400830,$575.64,$579.4,$560.245
12/18/2020,$578.88,462961,$579.62,$580.66,$571.59
12/17/2020,$577.35,253241,$563.52,$578.9441,$562.93
12/16/2020,$560.5,314781,$557.03,$563.2,$551.205
12/15/2020,$553.79,291169,$552.85,$556.83,$545.26
12/14/2020,$551.15,412856,$553.61,$574.8,$549.78
12/11/2020,$547.67,273529,$551.25,$561.645,$538.05
12/10/2020,$551.58,247230,$562.49,$566.73,$545.58
12/09/2020,$564.67,290764,$562.35,$569.13,$557.25
12/08/2020,$566.01,610134,$566.13,$569.28,$560.675
12/07/2020,$569.94,543866,$539.33,$571.05,$539.33
12/04/2020,$539.17,480537,$558.5,$573.835,$535.98
12/03/2020,$555.63,489666,$545.35,$562.87,$541.32
12/02/2020,$540.78,370690,$545.57,$548.5,$535.92
12/01/2020,$546.61,268793,$547.79,$549.345,$538.46
11/30/2020,$539.18,330478,$530.84,$541.54,$526.04
11/27/2020,$533.89,136566,$515.04,$534.97,$515.04
11/25/2020,$514.35,280134,$518.46,$523.4275,$507.1026
11/24/2020,$518.46,311867,$522.16,$534.99,$515.57
11/23/2020,$519.91,194725,$551.17,$551.33,$518.02
11/20/2020,$546.14,347658,$528.15,$548.27,$525.07
11/19/2020,$534.22,413208,$517.77,$539.04,$511.75
11/18/2020,$512.26,251746,$515.26,$520.81,$506.12
11/17/2020,$514.09,250005,$522.98,$522.98,$509.03
11/16/2020,$521.99,259381,$528.39,$528.39,$502.65
11/13/2020,$522.93,226071,$539.7,$541.43,$519.705
11/12/2020,$534.81,163491,$550.26,$550.43,$531.82
11/11/2020,$544.91,243344,$536.32,$547.12,$525.05
11/10/2020,$525.04,324167,$526.1,$529.92,$506.455
11/09/2020,$534.84,353820,$604.61,$606.45,$534.05
11/06/2020,$579.18,145026,$580.92,$592.44,$567.305
11/05/2020,$581.17,276568,$586.91,$602.77,$580.66
11/04/2020,$579.92,242994,$549.27,$585.18,$545.09
