Date,Close/Last,Volume,Open,High,Low
03/31/2021,$13.77,11405690,$13.9,$14.07,$13.39
03/30/2021,$13.4,8341885,$12.94,$13.41,$12.4
03/29/2021,$12.93,9756816,$13.378,$13.43,$12.6
03/26/2021,$13.45,13502190,$13.73,$14.3,$12.87
03/25/2021,$13.57,11762940,$12.81,$14.06,$12.57
03/24/2021,$13.21,12115900,$14.73,$14.7328,$13.16
03/23/2021,$14.54,12272760,$15.63,$15.7599,$14.32
03/22/2021,$15.63,7604048,$16.25,$16.42,$15.45
03/19/2021,$16.12,10435990,$15.46,$16.25,$15.18
03/18/2021,$15.4,15330930,$16.48,$16.57,$15.2101
03/17/2021,$16.93,9499878,$16.02,$17.1759,$15.85
03/16/2021,$16.69,12728910,$17.86,$18.59,$16.37
03/15/2021,$17.83,14302070,$16.67,$18.05,$16.375
03/12/2021,$16.87,20011850,$16.082,$17.22,$15.78
03/11/2021,$17.5,23308170,$16.22,$17.98,$15.87
03/10/2021,$15.94,19764830,$16.65,$17.03,$15.44
03/09/2021,$16.35,29758740,$15.8,$17.57,$15.27
03/08/2021,$15.5,47803880,$14.01,$17.75,$13.3798
03/05/2021,$13.73,21955890,$14.41,$14.5,$11.87
03/04/2021,$14.46,25515750,$14.31,$14.775,$13.145
03/03/2021,$14.92,18962760,$16,$16.36,$14.655
03/02/2021,$16.13,27018740,$17.03,$17.3,$15.6
03/01/2021,$17.34,53406970,$15.95,$17.46,$15.27
02/26/2021,$16.17,39159600,$16.88,$17.82,$15.7
02/25/2021,$18.87,81619820,$16.21,$19.7,$15
02/24/2021,$15.13,100347200,$14.07,$16.23,$13.54
02/23/2021,$16.465,78058310,$28.29,$28.6074,$12.5
02/22/2021,$31.34,6016982,$32.4,$33.22,$31.04
02/19/2021,$32.96,9613385,$32.199,$34.5672,$31.83
02/18/2021,$31.22,7328024,$31.33,$33.16,$30.89
02/17/2021,$32.43,10824570,$34.28,$34.3965,$31.23
02/16/2021,$34.11,10051090,$36.01,$36.45,$33.88
02/12/2021,$36.19,5749191,$37.2,$37.7777,$35.83
02/11/2021,$37.46,7156276,$39.19,$39.6612,$36.72
02/10/2021,$38.46,10258240,$39.97,$42.25,$38.37
02/09/2021,$40.19,10948440,$38.756,$41.35,$37.85
02/08/2021,$39.65,12704510,$39.7653,$40.4416,$37.12
02/05/2021,$40.61,13474220,$41.27,$42.1,$38.8
02/04/2021,$41.34,31036390,$36.58,$42.96,$36.11
02/03/2021,$36.05,11808820,$34.78,$37.44,$34.69
02/02/2021,$34.21,20022620,$37.98,$38.42,$33.5
02/01/2021,$38.86,23995720,$35.9,$40.24,$34.6401
01/29/2021,$34.32,23193980,$33.4,$38,$33.2
01/28/2021,$33.1,20809530,$33.73,$36.5,$29.52
01/27/2021,$34.8,48083310,$31.76,$40.45,$31
01/26/2021,$32.18,78625480,$27.04,$33.32,$26.51
01/25/2021,$24.71,20197640,$23.62,$25.7691,$23.3
01/22/2021,$23.51,8485846,$22.545,$24.24,$22.51
01/21/2021,$22.85,8509246,$22.351,$23.42,$22.29
01/20/2021,$23.33,10045930,$24.01,$24.49,$22.66
01/19/2021,$23.76,8577281,$23.95,$23.986,$23.085
01/15/2021,$23.34,8803420,$24.46,$24.5072,$23.04
01/14/2021,$24.61,8950141,$24.82,$24.93,$23.78
01/13/2021,$24.54,9353587,$25.0621,$25.9699,$24.39
01/12/2021,$25.02,13770640,$26.01,$26.57,$24.06
01/11/2021,$25.76,10797120,$24.99,$26.36,$24.55
01/08/2021,$25.565,21290590,$27.99,$27.99,$24.9
01/07/2021,$27.6,24390380,$24.77,$27.74,$24.26
01/06/2021,$23.65,18997780,$22.95,$24.8,$22.11
01/05/2021,$22.43,13573280,$21.36,$22.69,$21.19
01/04/2021,$21.42,19044680,$20.78,$21.59,$19.91
12/31/2020,$19.78,13106790,$21.3,$21.39,$19.72
12/30/2020,$21.27,8164536,$20.99,$21.59,$20.72
