Date,Close/Last,Volume,Open,High,Low
04/01/2021,400.61,99682880,398.4,400.67,398.18
03/31/2021,396.33,112734200,395.34,398,395.31
03/30/2021,394.73,76262250,394.42,395.45,393.02
03/29/2021,395.78,108107600,394.4,396.75,392.81
03/26/2021,395.98,114409100,390.93,396.41,390.29
03/25/2021,389.7,116128600,385.98,390.55,383.9
03/24/2021,387.52,97588640,391,392.75,387.47
03/23/2021,389.5,90686550,391.91,393.46,388.66
03/22/2021,392.59,73778650,390.03,394.07,389.97
03/19/2021,389.48,113624500,389.88,391.569,387.15
03/18/2021,391.48,115349100,394.475,396.72,390.75
03/17/2021,397.26,97959270,394.53,398.12,393.3
03/16/2021,395.91,73722510,397.07,397.83,395.08
03/15/2021,396.41,73592300,394.33,396.685,392.03
03/12/2021,394.06,64653570,392.07,394.21,391.2
03/11/2021,393.53,86245040,392.23,395.65,391.74
03/10/2021,389.58,109899400,389.69,391.4,388.1702
03/09/2021,387.17,113633600,385.85,389.91,381.7299
03/08/2021,381.72,123149200,384.66,387.68,381.42
03/05/2021,383.63,152039600,380.46,384.76,372.64
03/04/2021,376.7,183433000,381.22,384,371.88
03/03/2021,381.42,119940200,385.79,386.83,381.31
03/02/2021,386.54,79595330,389.82,390.07,386
03/01/2021,389.58,105348800,385.59,390.92,380.572
02/26/2021,380.36,152701600,384.35,385.58,378.23
02/25/2021,382.33,146670500,390.41,391.88,380.7789
02/24/2021,391.77,72433950,386.33,392.23,385.27
02/23/2021,387.5,107284100,384.66,388.945,380.2
02/22/2021,387.03,67414170,387.06,389.62,386.74
02/19/2021,390.03,83240970,392.07,392.38,389.55
02/18/2021,390.72,59712770,389.59,391.515,387.74
02/17/2021,392.39,52806680,390.42,392.66,389.33
02/16/2021,392.3,50972370,393.96,394.17,391.53
02/12/2021,392.64,50593270,389.85,392.9,389.77
02/11/2021,390.71,42913290,391.24,391.69,388.1
02/10/2021,390.08,59154370,392.12,392.28,387.5
02/09/2021,390.25,35551060,389.61,390.89,389.17
02/08/2021,390.51,38365190,389.27,390.56,388.35
02/05/2021,387.71,48669770,388.2,388.47,386.1444
02/04/2021,386.19,47142560,382.96,386.24,381.9655
02/03/2021,381.85,52427090,382.435,383.7,380.48
02/02/2021,381.55,64450660,379.65,383.22,376.3181
02/01/2021,376.23,75817600,373.72,377.34,370.376
01/29/2021,370.07,126765100,375.63,376.67,368.27
01/28/2021,377.63,94198100,376.36,381.93,375.89
01/27/2021,374.41,123351100,380.22,380.32,372.01
01/26/2021,383.79,42665280,385.41,385.85,383.54
01/25/2021,384.39,70401970,383.67,384.77,378.46
01/22/2021,382.88,52136930,382.25,384.1256,381.835
01/21/2021,384.24,47955810,384.49,384.95,383.25
01/20/2021,383.89,61836060,381.11,384.79,380.69
01/19/2021,378.65,51233300,378.34,379.23,376.75
01/15/2021,375.7,107160000,376.72,377.58,373.7
01/14/2021,378.46,49989110,380.59,381.13,378.1
01/13/2021,379.79,45303620,378.69,380.86,377.85
01/12/2021,378.77,52547720,378.89,379.86,376.36
01/11/2021,378.69,51176720,377.85,380.58,377.7189
01/08/2021,381.26,71677210,380.59,381.49,377.1
01/07/2021,379.1,68766810,376.1,379.9,375.91
01/06/2021,373.55,107997700,369.71,376.98,369.12
01/05/2021,371.33,66426230,368.1,372.5,368.05
01/04/2021,368.79,110210800,375.31,375.45,364.82
12/31/2020,373.88,78520700,371.78,374.66,371.232
12/30/2020,371.99,49455260,372.34,373.1,371.57
12/29/2020,371.46,53680450,373.81,374,370.83
12/28/2020,372.17,39000400,371.74,372.59,371.07
12/24/2020,369,26457850,368.08,369.03,367.45
12/23/2020,367.57,46201400,368.28,369.62,367.2172
12/22/2020,367.24,48388460,368.21,368.3317,366.03
12/21/2020,367.86,96386750,364.97,378.46,362.03
12/18/2020,369.18,136542300,370.97,371.15,367.02
12/17/2020,372.24,64119470,371.94,372.46,371.05
12/16/2020,370.17,58420520,369.82,371.16,368.8676
12/15/2020,369.59,64071100,367.4,369.59,365.92
12/14/2020,364.66,69216170,368.64,369.8,364.47
12/11/2020,366.3,57698610,364.9,366.7402,363.26
12/10/2020,366.73,57735350,365.37,367.86,364.43
12/09/2020,366.85,74098310,370.88,371.05,365.95
12/08/2020,370.17,42458860,367.72,370.78,367.67
12/07/2020,369.09,48944270,369.02,369.62,367.72
12/04/2020,369.85,50749860,367.32,369.85,367.22
12/03/2020,366.69,62882000,366.68,368.19,365.5
12/02/2020,366.79,45927000,364.82,366.96,364.2
12/01/2020,366.02,74504970,365.57,367.68,364.93
11/30/2020,362.06,83872710,362.83,363.12,359.17
11/27/2020,363.67,28514070,363.84,364.18,362.58
11/25/2020,362.66,45330890,363.13,363.16,361.48
11/24/2020,363.22,62415880,360.21,363.81,359.29
11/23/2020,357.46,63230610,357.28,358.82,354.865
11/20/2020,355.33,70411890,357.5,357.72,355.25
11/19/2020,357.78,59940950,355.6,358.18,354.15
11/18/2020,356.28,70591300,360.91,361.5,356.24
11/17/2020,360.62,66111010,359.97,361.92,358.34
11/16/2020,362.57,74541140,360.98,362.78,359.59
11/13/2020,358.1,62959430,355.27,358.9,354.71
11/12/2020,353.21,68118560,355.58,356.7182,351.26
11/11/2020,356.67,58649050,356.4,357.56,355.06
11/10/2020,354.04,85552020,353.49,355.18,350.51
11/09/2020,354.56,172304200,363.97,364.38,354.06
11/06/2020,350.16,74972970,349.93,351.51,347.65
11/05/2020,350.24,82039750,349.24,352.19,348.86
11/04/2020,343.54,126959700,340.86,347.94,339.59
11/03/2020,336.03,93294190,333.69,338.25,330.2935
11/02/2020,330.2,86068300,330.2,332.36,327.24
10/30/2020,326.54,120448700,328.28,329.69,322.6
10/29/2020,329.98,90597690,326.91,333.395,325.09
10/28/2020,326.66,127094300,332.1,338.2483,326.13
10/27/2020,338.22,65994110,339.76,340.12,337.99
10/26/2020,339.39,91473000,342.13,342.98,335.62
10/23/2020,345.78,49143930,345.93,345.99,343.13
10/22/2020,344.61,55399290,342.96,345.24,340.65
10/21/2020,342.73,63574980,343.33,348.6847,342.4
10/20/2020,343.38,60051880,343.46,346.88,342.64
10/19/2020,342.01,68425610,348.65,349.33,341.04
10/16/2020,347.29,89501870,348.96,350.75,347.1
10/15/2020,347.5,60357660,343.71,348.02,343.13
10/14/2020,347.93,57958750,350.75,351.93,347.14
10/13/2020,350.13,73255510,352.28,352.4651,349.09
10/12/2020,352.43,80388530,349.59,354.02,349.06
10/09/2020,346.85,59528610,345.56,347.35,344.89
10/08/2020,343.78,45242480,342.85,343.85,341.86
10/07/2020,340.76,56999600,338.12,341.63,338.09
10/06/2020,334.93,90128880,339.91,342.17,334.38
10/05/2020,339.76,45713110,336.06,339.96,336.01
10/02/2020,333.84,89431110,331.7,337.0126,331.19
10/01/2020,337.04,88698750,337.69,338.74,335.01
09/30/2020,334.89,104081100,333.09,338.29,332.88
09/29/2020,332.37,51531590,333.97,334.77,331.6209
09/28/2020,334.19,64584610,333.22,334.96,332.15
09/25/2020,328.73,71069430,322.58,329.58,321.64
09/24/2020,323.5,76681330,321.22,326.797,319.8
09/23/2020,322.64,93112240,330.9,331.2,322.1
09/22/2020,330.3,63612110,328.57,330.9,325.86
09/21/2020,326.97,99450830,325.7,327.13,321.73
09/18/2020,330.65,105877900,335.37,335.49,327.97
09/17/2020,335.84,91523340,333.56,337.6996,332.991
09/16/2020,338.82,82211260,341.51,343.06,338.52
09/15/2020,340.17,52920860,341.12,342.02,338.4683
09/14/2020,338.46,65605690,337.49,340.38,334.2208
09/11/2020,334.06,84680190,335.82,336.97,331
09/10/2020,333.89,90569550,341.82,342.53,332.85
09/09/2020,339.79,91462290,337.55,342.46,336.61
09/08/2020,333.21,114465300,336.71,342.64,332.88
09/04/2020,342.57,139156300,346.13,347.83,334.87
09/03/2020,345.39,148011100,355.87,356.38,342.59
09/02/2020,357.7,69540040,354.67,358.75,353.43
09/01/2020,352.6,54999330,350.21,352.71,349.24
08/31/2020,349.31,66099180,350.35,351.3,349.06
08/28/2020,350.58,48588940,349.44,350.72,348.15
08/27/2020,348.33,58034140,348.51,349.9,346.53
08/26/2020,347.57,50790240,344.76,347.86,344.17
08/25/2020,344.12,38463380,343.53,344.21,342.27
08/24/2020,342.92,48588660,342.12,343,339.4504
08/21/2020,339.48,55106630,337.92,339.72,337.55
08/20/2020,338.28,42207830,335.36,338.8,335.22
08/19/2020,337.23,68054240,339.05,339.61,336.62
08/18/2020,338.64,38733910,338.34,339.1,336.61
08/17/2020,337.91,35480970,337.94,338.34,336.8517
08/14/2020,336.84,47260390,336.41,337.42,335.62
08/13/2020,336.83,41816150,336.61,338.2514,335.83
08/12/2020,337.44,53826130,335.44,338.28,332.8377
08/11/2020,332.8,69601090,336.85,337.54,332.01
08/10/2020,335.57,44282090,335.06,335.77,332.955
08/07/2020,334.57,57308270,333.28,334.88,332.3
08/06/2020,334.33,43679450,331.48,334.46,331.13
08/05/2020,332.11,42866350,331.47,332.39,331.18
08/04/2020,330.06,41917890,327.86,330.06,327.86
08/03/2020,328.79,53077950,328.32,329.62,327.73
07/31/2020,326.52,85210760,325.9,326.63,321.33
07/30/2020,323.96,61861710,321.9,324.41,319.64
07/29/2020,325.12,48454160,322.12,325.73,322.075
07/28/2020,321.17,57494980,322.43,323.64,320.85
07/27/2020,323.22,48292970,321.63,323.41,320.775
07/24/2020,320.88,73766600,320.95,321.99,319.246
07/23/2020,322.96,75737990,326.47,327.23,321.48
07/22/2020,326.86,57792920,324.62,327.2,324.5
07/21/2020,325.01,57498970,326.45,326.93,323.94
07/20/2020,324.32,56308850,321.43,325.13,320.62
07/17/2020,321.72,62774910,321.88,322.57,319.735
07/16/2020,320.79,54622520,319.79,321.28,319.09
07/15/2020,321.85,87196520,322.41,323.04,319.265
07/14/2020,318.92,93656950,313.3,319.76,312
07/13/2020,314.84,102997500,320.13,322.71,314.13
07/10/2020,317.59,57550370,314.31,317.88,312.76
07/09/2020,314.38,83354160,316.84,317.1,310.68
07/08/2020,316.18,54638600,314.61,316.3,312.7
07/07/2020,313.78,82909960,315.38,317.52,313.37
07/06/2020,317.05,61713830,316.37,317.68,315.56
07/02/2020,312.23,69344220,314.24,315.7,311.51
07/01/2020,310.52,72396540,309.57,311.89,309.07
06/30/2020,308.36,113394800,303.99,310.2,303.82
06/29/2020,304.46,79773260,301.41,304.61,298.93
06/26/2020,300.05,127961000,306.16,306.39,299.42
06/25/2020,307.35,89467970,303.47,307.64,301.28
06/24/2020,304.09,132813500,309.84,310.51,302.1
06/23/2020,312.05,68471250,313.49,314.5,311.6101
06/22/2020,310.62,74649390,307.99,311.05,306.75
06/19/2020,308.64,135549600,314.17,314.38,306.53
06/18/2020,311.78,80828660,310.005,312.3,309.51
06/17/2020,311.66,83398940,314.07,314.39,310.86
06/16/2020,312.96,137627500,315.48,315.64,307.67
06/15/2020,307.05,135782700,298.02,308.28,296.74
06/12/2020,304.21,194678900,308.24,309.08,298.6
06/11/2020,300.61,209243600,311.46,312.15,300.01
06/10/2020,319,95000770,321.42,322.39,318.2209
06/09/2020,320.79,77479230,320.3,323.2849,319.36
06/08/2020,323.2,73641220,320.22,323.41,319.63
06/05/2020,319.34,150524700,317.23,321.275,317.16
06/04/2020,311.36,75794360,311.11,313,309.08
06/03/2020,312.18,92567570,310.24,313.22,309.94
06/02/2020,308.08,74267160,306.55,308.13,305.1
06/01/2020,305.55,56779840,303.62,306.205,303.06
05/29/2020,304.32,119265700,302.46,304.96,299.47
05/28/2020,302.97,90767810,304.65,306.84,302.24
05/27/2020,303.53,104817400,302.12,303.57,296.87
05/26/2020,299.08,88951440,301.93,302.19,295.4646
05/22/2020,295.44,63958200,294.57,295.63,293.22
05/21/2020,294.88,78293930,296.79,297.67,293.6886
05/20/2020,296.93,85861690,295.82,297.87,295.57
05/19/2020,291.97,95189320,294.35,296.205,291.95
05/18/2020,295,120320200,293.05,296.75,292.7
05/15/2020,286.28,111146300,282.37,286.33,281.34
05/14/2020,284.97,121977900,278.95,285.11,272.99
05/13/2020,281.6,144721100,286.06,287.19,278.965
05/12/2020,286.67,95870790,293.79,294.24,286.52
05/11/2020,292.5,79514230,290.34,294,289.88
05/08/2020,292.44,76622130,291.09,292.95,289.86
05/07/2020,287.68,75250410,287.75,289.78,287.13
05/06/2020,284.25,73632630,288.04,288.46,283.78
05/05/2020,286.19,79569940,286.64,289.25,283.7134
05/04/2020,283.57,80873210,280.74,283.9,279.13
05/01/2020,282.79,125180000,285.31,290.6572,281.52
04/30/2020,290.48,122901700,291.71,293.3239,288.59
04/29/2020,293.21,118745600,291.53,294.88,290.41
04/28/2020,285.73,105270000,291.02,291.4,285.4
04/27/2020,287.05,77896610,285.12,288.27,284.62
04/24/2020,282.97,85165950,280.73,283.7,278.5
04/23/2020,279.08,104709700,280.49,283.94,278.75
04/22/2020,279.1,93524580,278.35,281,276.91
04/21/2020,273.04,126385700,276.73,278.04,272.02
04/20/2020,281.59,100109300,282.61,286.7912,281.35
04/17/2020,286.64,146684800,285.38,287.3,282.4
04/16/2020,279.1,131798300,279.15,280.03,275.76
04/15/2020,277.76,121775000,277.57,283.9407,275.46
04/14/2020,283.79,134143400,280.98,284.9,275.5106
04/13/2020,275.66,114839100,277.14,277.51,271.41
04/09/2020,278.2,190282700,277.58,281.2,275.47
04/08/2020,274.03,153774500,267.96,276,265.2542
04/07/2020,265.13,201427200,274.21,275.03,264.89
04/06/2020,264.86,188061200,257.84,267,248.1698
04/03/2020,248.19,135561200,250.76,253.32,245.22
04/02/2020,251.83,177660400,245.19,252.68,244.59
04/01/2020,246.15,189554600,247.98,257.6591,243.9
